,id,ftype,image_loc,mask_loc,height,width,area,aeroplane_sum,bicycle_sum,bird_sum,boat_sum,bottle_sum,bus_sum,car_sum,cat_sum,chair_sum,cow_sum,diningtable_sum,dog_sum,horse_sum,motorbike_sum,person_sum,pottedplant_sum,sheep_sum,sofa_sum,train_sum,tvmonitor_sum,background_sum,border_sum,major_label,major_num,aeroplane_prop,bicycle_prop,bird_prop,boat_prop,bottle_prop,bus_prop,car_prop,cat_prop,chair_prop,cow_prop,diningtable_prop,dog_prop,horse_prop,motorbike_prop,person_prop,pottedplant_prop,sheep_prop,sofa_prop,train_prop,tvmonitor_prop,background_prop,border_prop,aeroplane_cnt,bicycle_cnt,bird_cnt,boat_cnt,bottle_cnt,bus_cnt,car_cnt,cat_cnt,chair_cnt,cow_cnt,diningtable_cnt,dog_cnt,horse_cnt,motorbike_cnt,person_cnt,pottedplant_cnt,sheep_cnt,sofa_cnt,train_cnt,tvmonitor_cnt,background_cnt,border_cnt,use_image,cluster_num_16,random_rstate1_fold0,random_rstate1_fold1,random_rstate1_fold2,random_rstate1_fold3,random_rstate1_fold4,skf_prop_rstate1_fold0,skf_prop_rstate1_fold1,skf_prop_rstate1_fold2,skf_prop_rstate1_fold3,skf_prop_rstate1_fold4,skf_major_rstate1_fold0,skf_major_rstate1_fold1,skf_major_rstate1_fold2,skf_major_rstate1_fold3,skf_major_rstate1_fold4,random_rstate2_fold0,random_rstate2_fold1,random_rstate2_fold2,random_rstate2_fold3,random_rstate2_fold4,skf_prop_rstate2_fold0,skf_prop_rstate2_fold1,skf_prop_rstate2_fold2,skf_prop_rstate2_fold3,skf_prop_rstate2_fold4,skf_major_rstate2_fold0,skf_major_rstate2_fold1,skf_major_rstate2_fold2,skf_major_rstate2_fold3,skf_major_rstate2_fold4,random_rstate3_fold0,random_rstate3_fold1,random_rstate3_fold2,random_rstate3_fold3,random_rstate3_fold4,skf_prop_rstate3_fold0,skf_prop_rstate3_fold1,skf_prop_rstate3_fold2,skf_prop_rstate3_fold3,skf_prop_rstate3_fold4,skf_major_rstate3_fold0,skf_major_rstate3_fold1,skf_major_rstate3_fold2,skf_major_rstate3_fold3,skf_major_rstate3_fold4,random_rstate4_fold0,random_rstate4_fold1,random_rstate4_fold2,random_rstate4_fold3,random_rstate4_fold4,skf_prop_rstate4_fold0,skf_prop_rstate4_fold1,skf_prop_rstate4_fold2,skf_prop_rstate4_fold3,skf_prop_rstate4_fold4,skf_major_rstate4_fold0,skf_major_rstate4_fold1,skf_major_rstate4_fold2,skf_major_rstate4_fold3,skf_major_rstate4_fold4,random_rstate5_fold0,random_rstate5_fold1,random_rstate5_fold2,random_rstate5_fold3,random_rstate5_fold4,skf_prop_rstate5_fold0,skf_prop_rstate5_fold1,skf_prop_rstate5_fold2,skf_prop_rstate5_fold3,skf_prop_rstate5_fold4,skf_major_rstate5_fold0,skf_major_rstate5_fold1,skf_major_rstate5_fold2,skf_major_rstate5_fold3,skf_major_rstate5_fold4
0,2007_000032,train,./data/VOCdevkit/VOC2012/JPEGImages/2007_000032.jpg,./data/VOCdevkit/VOC2012/SegmentationClass/2007_000032.png,281,500,140500,4734,0,0,0,0,0,0,0,0,0,0,0,0,0,866,0,0,0,0,0,129545,5355,aeroplane,1,0.033693950177935944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061637010676156585,0.0,0.0,0.0,0.0,0.0,0.9220284697508897,0.03811387900355872,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,0,train,train,val,train,train,train,val,train,train,train,train,train,val,train,train,train,val,train,train,train,train,train,val,train,train,val,train,train,train,train,train,train,val,train,train,train,train,train,val,train,train,train,train,val,train,train,train,train,train,val,train,val,train,train,train,train,train,train,train,val,train,train,train,val,train,train,train,train,val,train,train,train,train,train,val
1,2007_000039,train,./data/VOCdevkit/VOC2012/JPEGImages/2007_000039.jpg,./data/VOCdevkit/VOC2012/SegmentationClass/2007_000039.png,375,500,187500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30031,154539,2930,tvmonitor,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16016533333333333,0.824208,0.015626666666666667,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,15,train,train,val,train,train,val,train,train,train,train,train,train,train,val,train,train,val,train,train,train,train,train,train,val,train,train,train,train,train,val,val,train,train,train,train,train,train,train,train,val,train,train,val,train,train,train,train,train,val,train,val,train,train,train,train,val,train,train,train,train,train,train,train,val,train,train,train,val,train,train,val,train,train,train,train
2,2007_000063,train,./data/VOCdevkit/VOC2012/JPEGImages/2007_000063.jpg,./data/VOCdevkit/VOC2012/SegmentationClass/2007_000063.png,375,500,187500,0,0,0,0,0,0,0,0,78930,0,0,27632,0,0,0,0,0,0,0,0,72224,8714,chair,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42096,0.0,0.0,0.14737066666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3851946666666667,0.046474666666666664,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,11,train,train,val,train,train,train,val,train,train,train,train,train,train,train,val,train,val,train,train,train,train,val,train,train,train,train,train,val,train,train,train,train,train,train,val,train,train,train,train,val,val,train,train,train,train,train,val,train,train,train,train,train,val,train,train,train,val,train,train,train,train,train,train,val,train,train,train,train,train,val,train,train,train,train,val
3,2007_000068,train,./data/VOCdevkit/VOC2012/JPEGImages/2007_000068.jpg,./data/VOCdevkit/VOC2012/SegmentationClass/2007_000068.png,375,500,187500,0,0,16282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166664,4554,bird,3,0.0,0.0,0.08683733333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888746666666667,0.024288,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0,val,train,train,train,train,train,train,train,val,train,train,val,train,train,train,train,train,train,val,train,train,val,train,train,train,train,train,train,val,train,val,train,train,train,train,train,train,train,val,train,train,train,train,train,val,train,train,train,val,train,train,train,val,train,train,train,train,train,val,train,val,train,train,train,train,train,train,train,train,val,train,train,train,val,train
4,2007_000121,train,./data/VOCdevkit/VOC2012/JPEGImages/2007_000121.jpg,./data/VOCdevkit/VOC2012/SegmentationClass/2007_000121.png,375,500,187500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84493,95340,7667,tvmonitor,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4506293333333333,0.50848,0.040890666666666665,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,15,train,train,train,val,train,train,train,train,train,val,val,train,train,train,train,train,train,val,train,train,val,train,train,train,train,train,train,train,train,val,val,train,train,train,train,train,train,val,train,train,train,val,train,train,train,train,val,train,train,train,train,val,train,train,train,train,train,val,train,train,train,train,val,train,train,train,train,train,val,train,train,val,train,train,train
5,2007_000170,train,./data/VOCdevkit/VOC2012/JPEGImages/2007_000170.jpg,./data/VOCdevkit/VOC2012/SegmentationClass/2007_000170.png,375,500,187500,0,0,0,0,2548,0,0,0,0,0,0,0,0,0,84439,0,0,0,0,0,93208,7305,person,15,0.0,0.0,0.0,0.0,0.013589333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4503413333333333,0.0,0.0,0.0,0.0,0.0,0.49710933333333335,0.03896,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,1,train,train,val,train,train,train,train,val,train,train,val,train,train,train,train,train,train,train,val,train,train,train,train,train,val,train,train,train,val,train,train,train,val,train,train,train,train,train,train,val,train,train,train,train,val,val,train,train,train,train,train,train,train,val,train,train,val,train,train,train,train,train,train,train,val,train,val,train,train,train,train,train,val,train,train
6,2007_000241,train,./data/VOCdevkit/VOC2012/JPEGImages/2007_000241.jpg,./data/VOCdevkit/VOC2012/SegmentationClass/2007_000241.png,375,500,187500,0,0,0,7868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174967,4665,boat,4,0.0,0.0,0.0,0.04196266666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9331573333333333,0.02488,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0,train,val,train,train,train,train,train,train,train,val,train,train,train,val,train,train,train,train,val,train,train,train,train,val,train,train,train,train,train,val,val,train,train,train,train,train,val,train,train,train,train,train,train,train,val,train,train,train,val,train,train,val,train,train,train,train,train,train,train,val,train,train,train,val,train,train,val,train,train,train,train,train,train,val,train
7,2007_000243,train,./data/VOCdevkit/VOC2012/JPEGImages/2007_000243.jpg,./data/VOCdevkit/VOC2012/SegmentationClass/2007_000243.png,333,500,166500,2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162962,1448,aeroplane,1,0.012552552552552552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9787507507507508,0.008696696696696697,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0,train,train,train,val,train,train,val,train,train,train,train,train,val,train,train,val,train,train,train,train,train,train,val,train,train,val,train,train,train,train,train,val,train,train,train,train,train,val,train,train,train,train,train,train,val,train,train,train,val,train,train,train,train,val,train,train,train,train,val,train,val,train,train,train,train,train,val,train,train,train,val,train,train,train,train
8,2007_000250,train,./data/VOCdevkit/VOC2012/JPEGImages/2007_000250.jpg,./data/VOCdevkit/VOC2012/SegmentationClass/2007_000250.png,375,500,187500,0,0,0,0,4929,0,0,0,0,0,70225,0,0,0,0,0,0,0,0,0,107753,4593,diningtable,11,0.0,0.0,0.0,0.0,0.026288,0.0,0.0,0.0,0.0,0.0,0.37453333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5746826666666667,0.024496,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,12,train,val,train,train,train,val,train,train,train,train,train,train,train,val,train,train,train,train,train,val,val,train,train,train,train,train,val,train,train,train,train,val,train,train,train,train,train,train,val,train,train,val,train,train,train,train,val,train,train,train,train,train,train,val,train,train,train,train,train,val,train,val,train,train,train,train,train,val,train,train,train,val,train,train,train
9,2007_000256,train,./data/VOCdevkit/VOC2012/JPEGImages/2007_000256.jpg,./data/VOCdevkit/VOC2012/SegmentationClass/2007_000256.png,343,500,171500,15861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147543,8096,aeroplane,1,0.09248396501457726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8603090379008747,0.047206997084548105,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0,train,val,train,train,train,train,train,val,train,train,train,val,train,train,train,train,train,train,train,val,train,train,train,val,train,train,train,train,train,val,train,train,train,val,train,val,train,train,train,train,val,train,train,train,train,train,train,train,train,val,train,val,train,train,train,train,val,train,train,train,train,train,train,val,train,train,train,val,train,train,train,val,train,train,train
